company_name,url,description,founders,funding_info,latest_funding_date,total_funding,key_investors,location,headquarters,social_links,success
1. Boom Supersonic,https://boomsupersonic.com,Develops supersonic commercial aircraft aiming to make high-speed air travel mainstream[3].,Blake Scholl,"[{'round': 'Series A', 'amount': '$100M', 'lead_investors': 'Not publicly disclosed', 'year': '2024'}, {'round': 'Venture Round', 'amount': 'Not disclosed', 'lead_investors': 'NEOM Investment Fund', 'year': '2023'}, {'round': 'Grant', 'amount': '$60M', 'lead_investors': 'United States Air Force', 'year': '2022'}, {'round': 'Debt Financing', 'amount': 'Not disclosed', 'lead_investors': 'Not disclosed', 'year': '2021'}, {'round': 'Venture Round', 'amount': '$45M', 'lead_investors': 'Prime Movers Lab', 'year': '2021'}, {'round': 'Series C', 'amount': '$50M', 'lead_investors': 'Celesta Capital', 'year': '2020'}, {'round': 'Venture Round', 'amount': '$3.1M', 'lead_investors': 'Not disclosed', 'year': '2020'}, {'round': 'Series C', 'amount': 'Not disclosed', 'lead_investors': 'Not disclosed', 'year': '2021'}, {'round': 'Series A-1', 'amount': '$100M', 'lead_investors': 'Not disclosed', 'year': 'Recent'}, {'round': 'Early Rounds', 'amount': '$33M', 'lead_investors': '8VC, RRE Ventures, others', 'year': '2017'}]",2024,Over $700 million,"NEOM Investment Fund, Momentum Ventures, Y Combinator, 8VC, Japan Airlines, United States Air Force","Centennial, CO","6803 S. Tucson Way, Centennial, CO 80112-3924","linkedin: Not found, crunchbase: Not found",Yes
2. Hotel Engine,https://www.hotelengine.com,"Provides a hotel booking platform tailored for business travel, offering discounted rates and streamlined management[3].",Elia Wallen,"[{'round': 'Series A', 'amount': '$16 million', 'lead_investors': 'Not specified', 'year': '2019'}, {'round': 'Series B', 'amount': '$65 million', 'lead_investors': 'Telescope Partners, Blackstone', 'year': '2021'}, {'round': 'Series C', 'amount': '$140 million', 'lead_investors': 'Permira Growth Opportunities II', 'year': '2024'}]",2024-09,$221 million,"Permira Growth Opportunities II, Telescope Partners, Blackstone","Denver, CO","950 S Cherry St, 10th Floor, Denver, Colorado 80246, US","linkedin: Not found, crunchbase: Not found",Yes
3. Sunday,https://getsunday.com,Offers lawn care products and services using data and science to simplify lawn maintenance for homeowners[3].,"Roy Moussa, Antonin Bertin",Not found,Not found,Not found,,"Atlanta, GA","305 Delmont Drive, Atlanta, Georgia, 30305, United States","linkedin: Not found, crunchbase: Not found",Yes
4. Forge Nano,https://www.forgenano.com,"Specializes in advanced materials and nanotechnology, providing atomic layer deposition solutions for various industries[3].","Paul Lichty, Dave King","[{'round': 'Series A', 'amount': '$20 million', 'lead_investors': ['GM Ventures', 'LG Technology Ventures', 'Hanwha Corporate Venture Capital', 'Mitsui Kinzoku', 'Sumitomo Corporation of Americas', 'Air Liquide', 'Catalus Capital', 'SBI Investment', 'Volkswagen', 'OIC'], 'year': '2016'}, {'round': 'Series D', 'amount': '$40 million', 'lead_investors': ['RockCreek', 'Ascent Funds', 'Top Material', 'Orion Infrastructure Capital'], 'year': '2025'}]",2025-04,$140 million,"GM Ventures, LG Technology Ventures, Hanwha Corporate Venture Capital, Mitsui Kinzoku, Sumitomo Corporation of Americas, Air Liquide, Catalus Capital, SBI Investment, Volkswagen, OIC, RockCreek, Ascent Funds, Top Material, Orion Infrastructure Capital","Thornton, CO","12300 Grant St #110, Thornton, CO 80241, United States","linkedin: Not found, crunchbase: Not found",Yes
5. Inspirato,https://www.inspirato.com,"Luxury travel subscription service offering access to exclusive vacation homes, hotels, and experiences[3].","Brent Handler, Brad Handler, Martin Pucher, Brian Corbett","[{'round': 'Series A', 'amount': '$11 million', 'lead_investors': ['Institutional Venture Partners', 'Kleiner Perkins Caufield & Byers'], 'year': '2011'}, {'round': 'Series B', 'amount': '$15.5 million', 'lead_investors': [], 'year': 'Not specified'}, {'round': 'Subsequent Round', 'amount': '$20 million', 'lead_investors': ['W Capital Partners', 'Institutional Venture Partners', 'Millennium Technology Value Partners'], 'year': 'Not specified'}, {'round': 'Equity Financing', 'amount': '$10 million', 'lead_investors': ['One Planet Group'], 'year': '2024'}, {'round': 'Convertible Note', 'amount': '$25 million', 'lead_investors': ['Capital One Ventures'], 'year': '2023'}, {'round': 'PIPE', 'amount': 'Not specified', 'lead_investors': ['One Planet Group'], 'year': '2024'}, {'round': 'SPAC Merger', 'amount': 'Not specified', 'lead_investors': [], 'year': '2022'}]",2024,$85 million,"Institutional Venture Partners, Millennium Technology Value Partners, Kleiner Perkins Caufield & Byers, W Capital Partners, One Planet Group, Capital One Ventures","Denver, CO","1544 Wazee Street, Denver, CO 80202","linkedin: Not found, crunchbase: Not found",Yes
6. Blackpoint Cyber,https://www.blackpointcyber.com,Cybersecurity company delivering managed detection and response services to protect organizations from cyber threats[3].,Jon Murchison,"[{'round': 'Series C', 'amount': '$190M', 'lead_investor': 'Bain Capital Tech Opportunities', 'year': '2023'}, {'round': 'Series B', 'amount': '$7M', 'lead_investor': 'Not specified', 'year': '2020'}, {'round': 'Early Round', 'amount': '$6M', 'lead_investor': 'Adelphi Capital, Telecom Ventures', 'year': '2018'}]",2023-06,$203M,"Bain Capital Tech Opportunities, Accel, Adelphi Capital Partners, Telecom Ventures, Pelican Ventures, WP Global Partners, Maryland Venture Fund","Denver, CO","1099 18th Street, Suite 3050, Denver, CO 80202","linkedin: Not found, crunchbase: Not found",Yes
Koloma,https://koloma.com,Develops subsurface hydrogen production technology to support large-scale decarbonization; raised $245.7 million in Series B funding in February 2024[1].,"Pete Johnson, Paul Harraka, Tom Darrah","[{'round': 'Series A', 'amount': '$90 million', 'lead_investors': ['Breakthrough Energy Ventures', 'Energy Impact Partners'], 'year': '2023'}, {'round': 'Series B', 'amount': '$245.7 million', 'lead_investor': 'Khosla Ventures', 'year': '2024'}, {'round': 'Series B extension', 'amount': '$50 million', 'lead_investors': ['Osaka Gas', 'Mitsubishi Heavy Industries'], 'year': '2024'}]",2024-01,$394 million,"Khosla Ventures, Breakthrough Energy Ventures, Energy Impact Partners, Amazon Climate Pledge Fund, United Airlines Ventures, Osaka Gas, Mitsubishi Heavy Industries","Denver, CO","1900 Grant Street, Suite 1250, Denver, Colorado 80203","linkedin: https://www.linkedin.com/company/kolomainc/about/, crunchbase: Not found",Yes
8. Biodesix,https://www.biodesix.com,"Provides diagnostic solutions for lung disease, including blood-based tests for cancer and other conditions[3].","David Brunel, Heinrich Röthlingshöfer, Robert Wicke","[{'round': 'Series A', 'amount': 'Not found', 'lead_investor': 'Domain Associates', 'year': 2006}, {'round': 'Series B', 'amount': 'Not found', 'lead_investor': 'Domain Associates', 'year': 2008}, {'round': 'Series C', 'amount': 'Not found', 'lead_investor': 'Not found', 'year': 2010}]",2010,Not found,"Domain Associates, Latterell Venture Partners, Prolog Ventures, Versant Ventures, First Analysis, Highland Capital Partners","Louisville, CO","919 West Dillon Road, Louisville, CO 80027, United States","linkedin: Not found, crunchbase: Not found",Yes
9. Crusoe Energy,https://www.crusoeenergy.com,"Uses excess natural gas to power modular data centers, reducing flaring and supporting sustainable computing[3].","Chase Lochmiller, Cully Cavness","[{'round': 'Series A', 'amount': '$Not disclosed', 'lead_investors': ['Founders Fund', 'Bain Capital Ventures', 'KCK Group', 'Winklevoss Capital', 'Polychain Capital', 'Dragonfly Capital Partners', 'Wicklow Capital'], 'year': 2018}, {'round': 'Series B', 'amount': '$Not disclosed', 'lead_investors': ['Valor Equity Partners'], 'year': 2020}, {'round': 'Series C', 'amount': '$350 million', 'lead_investors': ['G2 Venture Partners'], 'year': 2022}, {'round': 'Series D', 'amount': '$600 million', 'lead_investors': ['Not disclosed'], 'year': 2024}]",2024,$1.3 billion,"Founders Fund, Bain Capital Ventures, Valor Equity Partners, G2 Venture Partners, Winklevoss Capital, Polychain Capital","Denver, CO","1641 California St, Suite 400, Denver, Colorado, 80202, United States","linkedin: Not found, crunchbase: Not found",Yes
10. Peregrine Energy Solutions,https://www.peregrineenergysolutions.com,Develops and operates clean energy storage projects to support renewable energy integration[3].,Hagen Lee,"[{'round': 'Series C', 'amount': '$190 million', 'lead_investors': ['Sequoia Capital', 'Fifth Down Capital', 'Friends & Family Capital', 'Godfrey Capital', 'Goldcrest Capital', 'O.G. Venture Partners'], 'year': 2025}, {'round': 'Series B', 'amount': '$30 million', 'lead_investors': 'Not found', 'year': 'Not found'}, {'round': 'New Capital', 'amount': '$130 million', 'lead_investors': ['Ministry of Environment of South Korea', 'IMM Investment', 'Woori Private Equity Asset Management', 'AB CarVal'], 'year': 2025}, {'round': 'Preferred Equity & Project Financing', 'amount': '$317 million', 'lead_investors': ['Bildmore Clean Energy', 'First Citizens Bank', 'Societe Generale', 'Siemens Financial Services', 'East West Bank'], 'year': 2025}, {'round': 'Mixed Round', 'amount': '$700 million', 'lead_investors': ['AB CarVal'], 'year': 'Not found'}]",2025-03,$1.367 billion,"Sequoia Capital, Fifth Down Capital, Friends & Family Capital, Godfrey Capital, Goldcrest Capital, O.G. Venture Partners, Ministry of Environment of South Korea, IMM Investment, Woori Private Equity Asset Management, AB CarVal, Bildmore Clean Energy, First Citizens Bank, Societe Generale, Siemens Financial Services, East West Bank","Boulder, CO","1495 Canyon Blvd, Suite 235, Boulder, Colorado, 80302, United States","linkedin: https://www.linkedin.com/company/peregrine-energy-solutions/, crunchbase: https://www.crunchbase.com/organization/peregrine-energy-solutions",Yes
